Stock,Jesse_Score,Rank,Predicted_Change_Percent
TXG,0.9541,372,-3.08
BHAT,0.954,373,1.79
FFAI,0.954,374,-1.61
SEER,0.954,375,10.58
SFLO,0.954,376,-1.97
TBRG,0.954,377,-2.53
VCEL,0.954,378,11.51
IMXI,0.9537,379,6.16
AQWA,0.9536,380,-0.2
TXMD,0.9536,381,-3.45
TSEM,0.9535,382,8.44
AFSC,0.9534,383,-0.11
SUSL,0.9529,384,10.22
SOHOB,0.9528,385,5.03
PLXS,0.9527,386,13.96
PTEN,0.9527,387,9.28
CWCO,0.9526,388,-3.39
IPA,0.9524,389,-0.37
NVDL,0.9524,390,6.22
ACLX,0.9521,391,9.22
PPIH,0.9521,392,5.72
LESL,0.9519,393,1.69
BANFP,0.9518,394,3.74
ALVO,0.9514,395,14.56
MBIN,0.9514,396,12.8
CCG,0.9513,397,-3.39
NVFY,0.9513,398,13.04
ACNB,0.9512,399,4.01
OCFC,0.9512,400,-1.73
BLNK,0.9511,401,8.21
SMH,0.9511,402,12.06
BIYA,0.951,403,13.74
KSPI,0.951,404,0.7
STRA,0.9509,405,-1.59
VBTX,0.9509,406,11.39
AVT,0.9508,407,0.07
ANSC,0.9505,408,5.75
IJT,0.9504,409,-2.84
RKLB,0.9504,410,8.11
BSLK,0.9503,411,-3.12
PEGA,0.9502,412,-1.35
WLAC,0.95,413,-0.99
USAU,0.9499,414,5.78
ATEC,0.9497,415,11.78
ARKOW,0.9496,416,4.23
UFO,0.9496,417,10.87
LSEAW,0.9495,418,14.09
FTXL,0.9494,419,3.86
ATHE,0.9492,420,7.96
HUT,0.9492,421,14.33
ADUR,0.9491,422,0.55
DERM,0.949,423,-0.71
FUFU,0.9483,424,-0.22
WALD,0.9482,425,13.44
TIPT,0.948,426,4.69
GANX,0.9479,427,-3.12
TTEK,0.9479,428,11.53
XBP,0.9477,429,13.53
GREEL,0.9476,430,7.07
RCON,0.9476,431,-1.82
ACWI,0.9475,432,11.19
QTEC,0.947,433,14.31
CEAD,0.9468,434,4.15
DOYU,0.9468,435,5.78
MCVT,0.9466,436,-0.9
FENC,0.9463,437,-2.82
MDAIW,0.9463,438,2.99
SGD,0.946,439,7.36
LIN,0.9459,440,-2.38
MCHPP,0.9458,441,13.19
OZEM,0.9458,442,6.57
VRA,0.9458,443,7.87
LOOP,0.9455,444,4.49
SMXT,0.9455,445,10.55
BZFDW,0.9454,446,7.17
OSUR,0.9454,447,2.08
PCTTU,0.9453,448,9.62
ATGL,0.9451,449,11.43
LBTYB,0.945,450,3.42
BSCS,0.9448,451,4.91
AFJKR,0.9441,452,14.72
DLPN,0.9441,453,11.07
HIDE,0.9441,454,6.54
NAOV,0.9441,455,13.23
GSUN,0.9439,456,12.68
GROW,0.9438,457,10.78
TTEQ,0.9438,458,14.93
EDRY,0.9436,459,5.34
SOXQ,0.9436,460,0.45
FPXI,0.9434,461,13.89
SAIC,0.9434,462,13.56
ERIE,0.9433,463,6.06
BHFAN,0.9431,464,-0.76
GAIN,0.9431,465,13.76
NGNE,0.943,466,11.88
PIE,0.9429,467,13.04
NCNA,0.9428,468,11.99
BOXL,0.9427,469,14.52
LBTYK,0.9427,470,4.48
METU,0.9424,471,6.45
HBANP,0.9423,472,-0.63
ESCA,0.9422,473,6.46
CMPR,0.9418,474,1.87
SKIN,0.9417,475,2.18
FTA,0.9416,476,6.69
AMBR,0.9415,477,9.89
ADNWW,0.9414,478,-0.06
HRZN,0.9414,479,-1.91
ONBPO,0.9414,480,-0.36
VCYT,0.9412,481,-3.78
RDVT,0.941,482,8.07
SRZN,0.941,483,6.65
FTRI,0.9408,484,7.06
PVLA,0.9407,485,7.34
CVCO,0.9406,486,0.36
SWVL,0.9405,487,11.95
VACH,0.9404,488,12.28
AACB,0.9403,489,11.25
DDIV,0.9403,490,11.98
PLMKU,0.9403,491,10.21
SKYT,0.9403,492,9.44
JG,0.9399,493,1.97
PHAR,0.9399,494,-3.69
PNFP,0.9398,495,13.24
CTEC,0.9397,496,5.27
GSAT,0.9397,497,1.0
NVMI,0.9393,498,1.87
LFMD,0.9389,499,-3.89
PTIX,0.9388,500,6.6
AMDD,0.9384,501,11.14
JANX,0.9383,502,-1.95
XOMAO,0.9383,503,7.16
CSCI,0.938,504,-1.73
LCDS,0.9379,505,-3.32
LPBBW,0.9379,506,8.45
FDMT,0.9377,507,1.82
CSCO,0.9375,508,13.92
FTAG,0.9373,509,14.23
QNST,0.9372,510,-4.6
BULD,0.9368,511,-0.2
PEZ,0.9368,512,6.79
INSM,0.9366,513,10.13
LITM,0.9363,514,4.65
XRX,0.9359,515,13.41
UFCS,0.9358,516,-3.27
VIRT,0.9358,517,4.0
MANH,0.9356,518,0.92
RILYP,0.9356,519,2.79
OACCW,0.9355,520,12.28
TRDA,0.9355,521,11.62
EVOK,0.9354,522,6.95
VEEE,0.9351,523,-0.81
SHRY,0.935,524,14.37
GPATW,0.9348,525,1.14
TCRX,0.9347,526,-3.44
FBGL,0.9343,527,-2.39
NTAP,0.9338,528,0.1
SPPL,0.9338,529,11.7
CLRB,0.9335,530,13.44
FTNT,0.9334,531,-1.04
BFST,0.933,532,14.12
BSIIW,0.933,533,6.51
ESGLW,0.9329,534,8.56
ATMCU,0.9326,535,-1.22
URBN,0.9326,536,5.54
CLSK,0.9325,537,-3.46
PIII,0.9325,538,-3.73
STTK,0.9325,539,-1.55
RNAZ,0.9324,540,0.54
HTCR,0.9323,541,14.75
UXIN,0.9321,542,10.62
PHO,0.9317,543,12.99
CLAR,0.9316,544,-1.33
PLTU,0.9314,545,12.07
MAT,0.9313,546,-2.66
VGIT,0.9313,547,13.44
DMAAU,0.9312,548,6.49
TUGN,0.931,549,2.85
AGAE,0.9309,550,2.57
FDSB,0.9307,551,5.84
TNYA,0.9307,552,-0.77
ULVM,0.9307,553,-3.02
VREX,0.9307,554,14.54
SPCX,0.9306,555,8.06
FACTW,0.9303,556,11.73
MOMO,0.9302,557,5.63
DCOM,0.93,558,13.09
BSJQ,0.9299,559,3.19
ONMD,0.9295,560,9.01
PROP,0.9295,561,-1.33
LAKE,0.9292,562,-4.6
PLMK,0.9292,563,13.92
ITRI,0.9291,564,8.91
PIO,0.9291,565,8.2
FORLW,0.9289,566,8.22
IVP,0.9288,567,13.17
SOHOO,0.9288,568,11.3
RVMDW,0.9286,569,7.97
EHGO,0.9285,570,2.8
LRE,0.9283,571,-4.98
BNAI,0.9281,572,2.44
GOGL,0.9281,573,9.57
NTLA,0.9279,574,5.82
SNCR,0.9279,575,0.19
FSCS,0.9278,576,-3.22
QTOP,0.9277,577,1.29
SYNA,0.9276,578,2.36
RDACU,0.9268,579,-3.85
VC,0.9267,580,-4.95
SKOR,0.9264,581,12.4
ESLT,0.9263,582,6.99
FYC,0.9263,583,-2.73
SWTX,0.9263,584,6.22
CCTG,0.9262,585,1.24
NETDU,0.9261,586,12.55
CNTA,0.926,587,9.29
NTRA,0.926,588,14.61
QSEAU,0.9256,589,4.83
DSGR,0.9254,590,12.4
ICCT,0.9253,591,-1.06
COLA,0.9252,592,0.54
ELTK,0.9251,593,13.99
FRMEP,0.9251,594,2.21
VRMEW,0.9251,595,-1.78
ATCOL,0.9248,596,8.97
TSBX,0.9248,597,10.46
SPAI,0.9246,598,-0.25
DHAI,0.9242,599,1.02
GCMG,0.9242,600,5.76
HOTH,0.9242,601,-1.58
LOGI,0.9241,602,-2.24
GDHG,0.9238,603,5.61
AXGN,0.9237,604,3.85
METC,0.9237,605,9.05
ABLVW,0.9235,606,1.45
CNDT,0.9234,607,8.6
DLHC,0.9233,608,6.75
VIOT,0.9233,609,10.56
ANNX,0.923,610,-2.85
DALN,0.9225,611,1.82
KOSS,0.9225,612,3.41
LIF,0.9224,613,1.53
IEI,0.9222,614,-4.97
MBRX,0.9222,615,-3.87
FEMS,0.9221,616,11.38
LOVE,0.922,617,14.0
OSRHW,0.922,618,5.75
MOBXW,0.9219,619,-2.52
FLGC,0.9212,620,10.24
TSPY,0.9206,621,-1.36
CFBK,0.9205,622,-0.95
SDA,0.9205,623,8.65
OLED,0.9203,624,2.61
WISE,0.9202,625,-4.85
FERA,0.9201,626,8.25
IWTR,0.9201,627,4.22
WINT,0.9199,628,6.89
PABD,0.9198,629,-0.63
TBMCR,0.9197,630,6.78
ODP,0.9194,631,14.02
WTFC,0.9192,632,10.9
DRDBW,0.919,633,0.54
TLS,0.919,634,13.79
AGNG,0.9189,635,8.77
GAN,0.9189,636,9.27
JBDI,0.9188,637,-2.11
IMPP,0.9182,638,-3.97
XBIO,0.918,639,14.27
KPRX,0.9179,640,-2.53
GIII,0.9178,641,-0.42
ELIS,0.9177,642,10.5
HURC,0.9177,643,8.57
RENB,0.9176,644,-3.21
SPKLW,0.9176,645,12.34
STRM,0.9176,646,9.7
CNOBP,0.9175,647,14.12
NYMTI,0.9175,648,-2.11
AVR,0.9174,649,5.13
CEP,0.9171,650,8.07
LITP,0.9171,651,11.31
GLRE,0.917,652,10.81
LDTCW,0.9169,653,10.68
CLEU,0.9168,654,0.31
ACGL,0.9167,655,-2.6
CRDF,0.9167,656,2.51
NEOG,0.9167,657,11.82
PKOH,0.9167,658,-0.31
SXTC,0.9161,659,9.86
EPOW,0.9157,660,12.43
USSH,0.9157,661,4.55
OACC,0.9156,662,-0.62
ZKIN,0.9153,663,11.77
CLFD,0.915,664,2.15
FNY,0.9147,665,3.44
PKBK,0.9147,666,2.63
TCBIO,0.9147,667,-2.71
CIL,0.9146,668,14.22
DAAQU,0.9145,669,7.52
MTC,0.9143,670,-4.56
ZTEK,0.9143,671,12.69
QCLR,0.9142,672,9.5
TTWO,0.9142,673,11.76
ZAP,0.9136,674,-0.3
ADBE,0.9135,675,11.2
LOTWW,0.9135,676,8.58
OABI,0.9132,677,11.72
LEGN,0.913,678,6.95
MLGO,0.9127,679,1.66
ONEG,0.9127,680,3.66
ROBT,0.9126,681,-2.83
APED,0.9125,682,10.85
BSJV,0.9125,683,9.6
UNIT,0.9125,684,11.64
FSUN,0.9123,685,1.16
TMDX,0.9122,686,-0.84
LNKB,0.912,687,13.97
SUSB,0.9119,688,13.15
UFG,0.9119,689,-2.73
GDC,0.9118,690,3.11
VRNA,0.9118,691,14.09
ATHR,0.9117,692,-4.99
COHU,0.9117,693,4.97
ACET,0.9116,694,-1.62
PT,0.9116,695,7.12
QSI,0.9114,696,1.73
SRAD,0.9111,697,-4.62
UGRO,0.9108,698,14.63
APCX,0.9105,699,5.98
NCNO,0.9104,700,-2.34
BACQR,0.9102,701,-4.91
NTRBW,0.9101,702,9.72
AZI,0.91,703,0.36
OZKAP,0.9099,704,3.95
PROF,0.9098,705,12.51
RMTI,0.9098,706,2.71
SDOT,0.9098,707,12.27
YSXT,0.9097,708,13.5
ANNA,0.9096,709,6.31
CDRO,0.9096,710,6.16
AGNCL,0.9095,711,13.0
NHICU,0.9095,712,13.38
MBX,0.9093,713,14.93
EVRG,0.9091,714,6.14
MAXN,0.9091,715,-1.17
BASE,0.909,716,8.37
HEQQ,0.909,717,-3.6
SMBC,0.909,718,12.2
DRS,0.9087,719,4.02
TRINZ,0.9087,720,4.51
CRESW,0.9084,721,8.02
PAVS,0.9083,722,6.54
OOQB,0.9082,723,6.65
SNEX,0.9082,724,-1.62
OPEN,0.9081,725,3.93
SLS,0.9081,726,2.64
WOK,0.908,727,-1.61
BTSG,0.9078,728,13.9
DRCT,0.9075,729,10.19
EU,0.9075,730,5.34
IPKW,0.9075,731,1.18
OPI,0.9075,732,0.66
CTSO,0.9071,733,1.06
IONR,0.9071,734,14.24
VEEAW,0.9071,735,12.53
QDTY,0.907,736,11.03
VIAV,0.907,737,3.39
EHLD,0.9069,738,7.48
PTPI,0.9069,739,0.88
PBYI,0.9067,740,9.32
HKIT,0.9066,741,2.66
ARQ,0.9064,742,-0.52
TBH,0.9064,743,4.36
DFLIW,0.9063,744,12.36
SEVN,0.9063,745,10.29
PAHC,0.9062,746,9.39
IROQ,0.9061,747,0.78
GSRTU,0.9058,748,-3.53
MTCH,0.9055,749,-1.72
SUNE,0.9054,750,5.12
SPRX,0.9053,751,2.21
OCSL,0.9051,752,-3.67
TIVC,0.9051,753,6.28
CCGWW,0.905,754,7.37
UHG,0.905,755,-0.2
FOSLL,0.9049,756,4.88
MNTK,0.9049,757,5.41
LPLA,0.9048,758,-3.88
HYMC,0.9047,759,14.57
SDTY,0.9047,760,0.73
AMZD,0.9045,761,14.15
BTMWW,0.9045,762,14.57
PLUT,0.9045,763,3.37
EWCZ,0.9044,764,13.22
SQFTP,0.9044,765,14.43
GRVY,0.9043,766,0.74
HUBC,0.9042,767,0.58
MWYN,0.9042,768,-4.13
AVXL,0.9041,769,-1.56
STRR,0.9041,770,11.56
ZYXI,0.904,771,7.13
DAIO,0.9039,772,-2.69
ZCARW,0.9039,773,7.0
AFRI,0.9037,774,3.8
FMNB,0.9037,775,13.61
NTRB,0.9037,776,-1.92
DFDV,0.9033,777,6.27
LRHC,0.9033,778,1.63
ARQQW,0.9032,779,-2.46
OTLK,0.903,780,3.88
PASG,0.9029,781,-0.01
SYMBOL,0.9028,782,-0.12
MLCO,0.9028,783,11.01
LOKVU,0.9027,784,5.52
PSEC,0.9027,785,4.62
IBGA,0.9026,786,4.07
SKBL,0.9025,787,6.96
SCVL,0.9024,788,0.85
FBIO,0.9022,789,6.2
BLKB,0.9021,790,7.65
WDC,0.9018,791,12.74
WNW,0.9018,792,1.19
ENPH,0.9017,793,7.95
STAK,0.9017,794,1.55
TNDM,0.9015,795,3.28
AENT,0.9014,796,8.29
BOTZ,0.9014,797,4.2
FTSM,0.9014,798,1.04
HSDT,0.9013,799,1.74
VIR,0.9013,800,10.83
TH,0.9011,801,9.34
ATNI,0.9009,802,6.59
GLDD,0.9008,803,13.14
ARTV,0.9005,804,-2.54
BILI,0.9003,805,-3.14
CRWS,0.9003,806,1.29
LPBBU,0.9003,807,-4.41
GIFI,0.8999,808,7.76
UFPT,0.8998,809,-3.26
BTF,0.8997,810,4.77
UNB,0.8997,811,4.42
BSGM,0.8995,812,1.33
CPB,0.8995,813,8.78
SCOR,0.8995,814,-3.4
CRWD,0.899,815,13.86
CRML,0.8989,816,0.92
FER,0.8988,817,6.15
RPTX,0.8987,818,-2.68
ORLY,0.8985,819,-4.84
MCHX,0.8984,820,12.55
VACHU,0.8984,821,11.21
CMCSA,0.8983,822,-4.46
HYLS,0.8982,823,-3.95
ASTL,0.8981,824,11.29
CFO,0.8981,825,8.72
NFLX,0.8981,826,8.67
BTDR,0.8978,827,12.2
GMGI,0.8978,828,-2.82
OSW,0.8978,829,1.25
PCSC,0.8978,830,10.87
MDCXW,0.8976,831,-4.7
BITF,0.8974,832,4.73
FOXA,0.8974,833,13.17
EXLS,0.8972,834,6.29
SNT,0.897,835,12.34
IKT,0.8967,836,-4.36
ATHA,0.8965,837,11.43
ARTNA,0.8962,838,-2.65
DLLL,0.8959,839,2.05
PSIG,0.8957,840,6.5
SVCCU,0.8957,841,8.51
CHRW,0.8954,842,4.86
REYN,0.8954,843,14.6
SHOT,0.8949,844,7.56
LOKV,0.8948,845,-0.89
WBND,0.8948,846,3.46
BSCT,0.8945,847,4.33
FILE CREATION TIME: 0505202521:31,0.8945,848,7.87
ISHP,0.8944,849,13.7
SUUN,0.8944,850,-4.53
CXAI,0.8943,851,7.03
FORLU,0.8943,852,6.73
NUKK,0.8943,853,12.71
NTRS,0.8942,854,-1.27
ZIPP,0.8942,855,7.28
EVMT,0.8941,856,10.95
PMEC,0.894,857,10.72
XYZG,0.894,858,-0.77
RYET,0.8936,859,2.81
DRTS,0.8935,860,-2.24
BGFV,0.8932,861,3.41
INDB,0.8932,862,3.27
EMCGW,0.8931,863,-2.53
ESGRO,0.893,864,7.3
BIAFW,0.8929,865,1.58
FV,0.8929,866,-4.52
CHSCO,0.8928,867,6.52
CODA,0.8928,868,-4.38
